Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
SAO LOURENCO DA MATA;36;464;1115;53;269;656;199;222;55;39;397;289;3794
SAO VICENTE FERRER;141;22;40;28;3;70;4;258;13;-;24;14;617
SERRA TALHADA;53;442;214;3;14;957;15;32;347;22;83;48;2230
SERRITA;75;60;54;-;2;53;54;2;25;2;87;134;548
SERTANIA;6;167;849;5;1;444;16;6;15;4;9;11;1533
SIRINHAEM;36;29;402;51;18;156;36;111;3;1;28;21;892
MOREILANDIA;3;1;1;3;1;74;11;5;4;10;4;30;147
SOLIDAO;4;27;37;3;6;151;1;5;4;5;119;2;364
SURUBIM;18;2356;49;216;21;51;101;197;115;13;123;59;3319
TABIRA;41;510;116;3;16;193;13;5;50;13;196;43;1199
TACAIMBO;8;38;4;53;9;7;2;-;7;13;7;7;155
TACARATU;-;529;46;3;1;58;1;-;11;1;58;142;850
TAMANDARE;14;27;53;2;5;65;2;90;49;4;24;35;370
TAQUARITINGA DO NORTE;16;931;35;4;8;6;8;16;26;13;25;13;1101
TEREZINHA;56;7;1;-;-;29;10;1;10;29;163;7;313
TERRA NOVA;19;30;4;-;1;405;21;2;50;17;55;8;612
TIMBAUBA;2;577;819;17;30;192;20;32;90;7;25;44;1855
TORITAMA;18;286;9;118;3;46;20;6;32;14;23;50;625
TRACUNHAEM;5;17;705;2;3;17;1;319;322;29;93;9;1522
TRINDADE;3;38;8;1;2;16;47;8;13;11;13;19;179
TRIUNFO;13;137;95;2;3;82;61;1;12;3;28;11;448
TUPANATINGA;17;219;259;10;6;55;53;12;12;3;31;4;681
TUPARETAMA;-;29;7;-;1;17;6;2;8;6;90;6;172
VENTUROSA;3;461;21;29;36;26;4;18;16;4;18;4;640
VERDEJANTE;84;105;12;-;-;358;15;8;42;9;35;11;679
VERTENTE DO LERIO;2;75;210;6;2;12;22;3;2;-;4;1;339
VERTENTES;51;2170;145;95;4;18;13;9;12;16;68;36;2637
VICENCIA;12;219;249;8;6;56;-;80;36;5;51;62;784
VITORIA DE SANTO ANTAO;5;1340;1468;60;536;209;77;1012;178;237;233;290;5645
XEXEU;7;3;24;10;11;53;1;35;24;1;71;16;256
MUNICIPIO IGNORADO - AL;-;1;-;-;-;-;-;-;-;-;-;-;1
AGUA BRANCA;4;41;24;1;-;-;8;3;16;-;64;8;169
ANADIA;11;61;10;-;-;33;3;5;39;25;51;10;248
ARAPIRACA;2632;8138;5216;1544;1299;7630;102;69;1704;407;2099;405;31251
ATALAIA;15;9;45;3;-;38;4;20;72;9;161;57;433
BARRA DE SANTO ANTONIO;38;21;18;5;-;4;5;4;18;1;13;16;143
BARRA DE SAO MIGUEL;18;18;60;2;1;38;1;12;152;4;20;11;337
BATALHA;5;197;8;1;3;65;-;8;21;-;31;253;592
BELEM;17;31;20;2;1;77;7;4;58;2;47;11;277
BELO MONTE;14;29;8;2;1;16;-;-;1;2;18;26;117
BOCA DA MATA;29;50;50;-;-;36;2;5;34;92;27;11;336
BRANQUINHA;97;25;4;-;3;16;2;72;253;32;39;20;563
CACIMBINHAS;12;160;6;2;-;35;-;11;22;2;11;6;267
CAJUEIRO;71;16;18;1;2;32;6;57;46;3;6;3;261
CAMPESTRE;3;15;13;1;1;9;-;2;2;-;1;10;57
CAMPO ALEGRE;14;47;60;1;1;162;10;4;322;126;22;20;789
CAMPO GRANDE;8;29;42;14;2;76;3;3;3;2;14;4;200
CANAPI;37;412;8;1;8;13;26;-;-;4;14;4;527
CAPELA;5;5;2;-;1;68;2;7;112;40;58;4;304
CARNEIROS;9;43;140;3;1;4;-;3;16;-;31;4;254
CHA PRETA;11;35;2;-;1;1;56;1;-;-;4;-;111
COITE DO NOIA;92;114;103;39;22;291;5;-;8;1;5;-;680
COLONIA LEOPOLDINA;5;114;108;-;19;72;-;283;372;34;55;110;1172
COQUEIRO SECO;49;24;56;-;-;86;2;4;31;5;14;6;277
CORURIPE;9;6;9;-;10;140;3;17;354;115;173;27;864
CRAIBAS;92;351;184;41;24;246;22;8;57;2;213;15;1255
DELMIRO GOUVEIA;65;382;122;12;8;87;219;46;208;17;287;27;1480
DOIS RIACHOS;4;122;20;3;6;3;-;3;5;1;14;6;187
ESTRELA DE ALAGOAS;41;222;72;4;5;46;4;9;69;5;113;20;610
FEIRA GRANDE;218;320;268;30;13;167;50;8;44;24;516;25;1683
FELIZ DESERTO;-;-;-;-;-;38;1;1;9;2;5;1;57
FLEXEIRAS;11;10;2;-;-;136;2;13;73;1;37;42;327
GIRAU DO PONCIANO;52;117;281;35;14;47;11;3;6;5;41;8;620
IBATEGUARA;2;4;3;2;-;78;65;11;46;11;31;161;414
IGACI;34;124;109;10;11;80;11;-;132;-;22;1;534
IGREJA NOVA;36;33;135;4;4;322;8;13;18;4;6;-;583
INHAPI;20;1693;91;3;2;21;7;-;103;6;28;12;1986
JACARE DOS HOMENS;-;5;1;1;1;42;5;3;28;5;33;2;126
JACUIPE;3;11;2;1;-;14;4;20;8;3;5;20;91
JAPARATINGA;2;29;8;22;4;77;4;22;53;6;181;79;487
JARAMATAIA;11;47;20;3;3;106;11;2;35;3;33;50;324
JEQUIA DA PRAIA;7;8;2;-;1;17;1;-;7;5;40;5;93
JOAQUIM GOMES;5;33;12;2;3;225;6;37;111;5;120;49;608
JUNDIA;-;-;2;-;-;8;-;1;14;-;13;14;52
JUNQUEIRO;60;26;327;7;3;138;15;6;104;25;32;29;772
LAGOA DA CANOA;32;53;50;9;6;601;12;8;43;1;22;-;837
LIMOEIRO DE ANADIA;107;114;133;17;12;537;3;29;143;13;46;3;1159
MACEIO;5620;3751;5565;677;363;4304;899;3853;15002;2290;7281;2764;52375
MAJOR ISIDORO;13;522;-;2;-;59;18;25;6;2;10;20;677
MARAGOGI;129;449;251;81;48;196;96;105;707;90;809;384;3345
MARAVILHA;36;59;29;4;-;-;12;4;2;1;20;6;174
MARECHAL DEODORO;198;709;325;13;6;64;6;97;2494;27;589;83;4611
MARIBONDO;26;60;77;2;5;19;-;-;139;7;28;42;405
MAR VERMELHO;1;5;3;-;-;2;16;-;-;-;6;-;33
MATA GRANDE;15;2394;601;3;5;177;6;1;28;6;40;8;3284
MATRIZ DE CAMARAGIBE;1;25;44;-;1;21;-;15;1141;11;30;251;1540
MESSIAS;12;42;43;4;1;46;61;48;547;-;10;8;822
MINADOR DO NEGRAO;4;7;8;3;-;11;-;-;6;-;28;6;73
MONTEIROPOLIS;14;35;39;1;-;31;-;1;1;-;18;63;203
MURICI;37;13;4;20;3;6;-;540;415;24;133;36;1233
NOVO LINO;2;6;19;2;-;43;8;3;7;1;9;14;114
OLHO D'AGUA DAS FLORES;36;32;16;1;-;106;4;-;81;4;126;7;414
OLHO D'AGUA DO CASADO;8;32;11;-;-;7;2;1;3;2;16;9;91
OLHO D'AGUA GRANDE;6;11;18;3;-;43;2;3;2;1;4;3;96
OLIVENCA;57;178;167;1;-;4;-;-;108;-;25;8;548
OURO BRANCO;41;623;54;11;-;2;8;2;1;2;3;2;749
PALESTINA;19;36;13;4;4;194;-;1;3;-;55;22;351
PALMEIRA DOS INDIOS;130;1501;396;53;23;217;58;21;1070;75;888;155;4587
PAO DE ACUCAR;24;46;27;8;-;62;9;1;4;1;400;16;598
PARICONHA;4;35;13;1;3;5;1;-;2;1;39;2;106
PARIPUEIRA;21;11;18;3;5;77;9;19;21;-;24;81;289
PASSO DE CAMARAGIBE;3;4;-;1;-;14;-;-;8;1;6;12;49
PAULO JACINTO;-;-;2;-;-;41;51;5;55;1;7;2;164
PENEDO;1245;538;527;3;3;748;10;214;109;1;11;11;3421
PIACABUCU;11;43;65;1;2;163;16;6;57;1;30;3;398
PILAR;109;217;120;20;13;125;61;157;271;12;283;59;1447
PINDOBA;1;-;4;-;-;4;5;1;1;-;6;4;26
PIRANHAS;15;48;10;-;-;32;1;-;35;4;21;4;170
POCO DAS TRINCHEIRAS;27;53;130;1;2;10;24;-;-;-;35;4;286
PORTO CALVO;27;51;2;8;2;303;39;32;126;50;56;161;857
PORTO DE PEDRAS;-;5;1;2;4;9;2;-;20;1;58;83;185
PORTO REAL DO COLEGIO;7;33;86;7;1;20;-;9;16;12;30;17;238
QUEBRANGULO;4;-;1;2;1;90;33;17;141;2;19;27;337
RIO LARGO;472;195;997;71;55;308;39;94;439;42;334;127;3176
ROTEIRO;2;11;129;-;-;-;-;-;39;6;92;17;296
SANTA LUZIA DO NORTE;29;5;8;-;-;85;4;5;187;14;14;5;356
SANTANA DO IPANEMA;345;571;769;13;2;13;3;7;87;7;241;4;2063
SANTANA DO MUNDAU;12;62;7;1;1;243;1;5;49;48;109;45;583
SAO BRAS;1;1;22;3;1;51;-;1;2;-;3;4;89
SAO JOSE DA LAJE;5;6;24;7;18;13;5;67;216;32;107;2;502
SAO JOSE DA TAPERA;6;6;6;1;1;7;8;-;1;1;21;57;116
SAO LUIS DO QUITUNDE;10;22;5;8;2;38;6;30;286;3;16;448;874
SAO MIGUEL DOS CAMPOS;56;93;59;5;3;136;24;336;1356;238;390;852;3548
SAO MIGUEL DOS MILAGRES;10;1;30;1;-;13;-;1;3;1;4;18;82
SAO SEBASTIAO;151;253;60;11;3;201;28;9;12;1;13;5;749
SATUBA;90;30;17;-;6;135;11;13;281;18;121;62;784
SENADOR RUI PALMEIRA;1;245;38;3;-;6;12;2;19;1;75;8;411
TANQUE D'ARCA;31;5;78;8;5;64;4;3;17;1;28;14;258
TAQUARANA;64;151;122;13;4;165;2;2;247;7;85;2;864
TEOTONIO VILELA;35;407;105;6;11;17;3;9;158;7;22;118;898
TRAIPU;12;85;107;11;3;38;8;6;12;18;9;7;316
UNIAO DOS PALMARES;39;133;432;4;107;66;7;913;2316;632;207;76;4932
VICOSA;78;54;9;1;-;211;89;99;321;7;52;101;1022
AMPARO DE SAO FRANCISCO;-;1;7;4;1;1;-;-;-;1;5;-;20
AQUIDABA;10;48;4;1;1;10;6;5;1;24;4;5;119
ARACAJU;965;2323;805;104;62;1780;913;173;3055;1056;390;491;12119
ARAUA;18;3;4;-;-;6;3;11;23;35;5;1;109
AREIA BRANCA;5;60;16;1;2;26;1;-;46;14;10;4;185
BARRA DOS COQUEIROS;82;117;60;9;4;132;25;7;91;57;26;26;636
BOQUIM;9;17;5;-;-;8;-;29;9;23;5;7;112
BREJO GRANDE;5;1;1;2;1;120;-;-;1;1;-;6;138
CAMPO DO BRITO;5;52;9;1;-;23;2;1;33;14;1;4;145
CANHOBA;5;1;17;6;-;11;1;-;-;11;3;2;57
CANINDE DE SAO FRANCISCO;12;48;2;-;1;15;3;3;21;14;20;10;149
CAPELA;4;10;1;7;-;11;3;1;19;9;4;3;72
CARIRA;1;78;2;1;1;17;32;1;33;7;53;-;226
CARMOPOLIS;24;51;6;1;1;26;15;4;9;57;7;5;206
CEDRO DE SAO JOAO;2;4;31;17;1;27;2;19;2;1;5;4;115
CRISTINAPOLIS;1;109;2;-;1;45;7;1;3;9;-;-;178
CUMBE;1;1;-;2;1;27;1;4;11;9;13;9;79
DIVINA PASTORA;2;-;2;-;-;3;-;-;19;-;10;1;37
ESTANCIA;30;89;57;1;1;73;63;5;37;80;100;29;565
FEIRA NOVA;1;3;2;4;1;25;2;10;8;21;19;10;106
FREI PAULO;-;5;-;-;-;10;-;1;2;6;2;-;26
GARARU;15;41;3;3;1;78;4;-;7;48;12;10;222
GENERAL MAYNARD;4;16;2;-;-;4;-;-;5;6;2;-;39
GRACHO CARDOSO;-;1;1;1;1;61;1;2;8;30;15;10;131
ILHA DAS FLORES;15;6;4;4;-;30;-;-;-;4;1;-;64
INDIAROBA;1;14;49;7;-;15;2;-;4;29;8;2;131
ITABAIANA;5;1382;65;1;3;143;7;9;23;72;15;12;1737
ITABAIANINHA;415;930;513;12;5;18;23;87;54;14;12;5;2088
ITABI;-;8;4;3;2;46;-;-;17;8;3;8;99
ITAPORANGA D'AJUDA;6;42;37;12;8;69;6;2;32;18;13;7;252
JAPARATUBA;1;1;4;1;2;27;15;12;1;4;11;1;80
JAPOATA;-;19;49;13;-;7;3;1;9;3;9;3;116
LAGARTO;18;77;22;4;2;410;66;37;78;155;163;15;1047
LARANJEIRAS;3;62;11;4;-;65;15;4;23;4;14;6;211
MACAMBIRA;-;15;5;-;-;5;-;-;-;4;-;-;29
MALHADA DOS BOIS;-;2;15;11;2;4;-;10;1;8;4;3;60
MALHADOR;16;79;5;2;-;20;11;8;19;20;3;1;184
MARUIM;2;14;2;1;2;20;3;6;5;3;6;2;66
MOITA BONITA;-;74;3;-;-;24;1;1;4;25;8;17;157
MONTE ALEGRE DE SERGIPE;-;12;4;-;7;75;11;2;7;48;17;16;199
MURIBECA;2;5;13;17;3;6;2;4;-;17;1;2;72
NEOPOLIS;32;134;19;11;1;57;5;3;21;3;30;6;322
NOSSA SENHORA APARECIDA;1;10;3;3;2;59;3;-;3;15;16;10;125
NOSSA SENHORA DA GLORIA;5;16;19;21;4;120;4;4;100;38;13;103;447
NOSSA SENHORA DAS DORES;3;72;3;-;-;70;9;24;7;16;21;6;231
NOSSA SENHORA DE LOURDES;-;14;162;23;1;69;-;-;2;2;2;1;276
NOSSA SENHORA DO SOCORRO;119;295;196;89;36;1048;283;161;717;292;357;135;3728
PACATUBA;14;12;21;7;2;12;-;3;2;5;9;6;93
PEDRA MOLE;1;4;88;-;-;57;-;1;-;2;-;1;154
PEDRINHAS;4;3;15;-;-;-;-;-;1;-;-;1;24
PINHAO;3;41;10;1;3;3;9;4;2;4;3;1;84
PIRAMBU;6;9;12;-;3;25;4;1;2;27;13;-;102
POCO REDONDO;2;11;5;-;-;55;3;1;3;8;28;8;124
POCO VERDE;1;8;23;-;-;8;1;-;3;1;13;2;60
PORTO DA FOLHA;1;2;2;3;4;19;15;10;31;30;4;4;125
PROPRIA;9;11;30;76;15;142;2;-;4;21;39;26;375
RIACHAO DO DANTAS;-;77;19;-;3;11;-;2;6;-;4;2;124
RIACHUELO;18;42;3;-;-;10;-;-;4;2;3;-;82
RIBEIROPOLIS;7;10;5;2;-;64;6;4;1;4;4;-;107
ROSARIO DO CATETE;3;778;5;-;1;6;2;-;1;-;7;2;805
SALGADO;15;58;34;3;1;19;3;1;37;10;80;4;265
SANTA LUZIA DO ITANHY;18;35;44;9;-;117;13;-;79;27;21;3;366
SANTANA DO SAO FRANCISCO;9;11;1;-;-;22;-;2;1;-;17;3;66
SANTA ROSA DE LIMA;2;39;3;1;1;1;12;-;7;-;4;9;79
SANTO AMARO DAS BROTAS;8;16;12;2;4;39;3;2;5;8;2;4;105
SAO CRISTOVAO;110;252;187;53;25;209;112;56;322;275;69;24;1694
SAO DOMINGOS;1;24;1;-;-;13;-;1;16;8;4;-;68
SAO FRANCISCO;1;2;15;6;-;8;1;1;2;1;4;1;42
SAO MIGUEL DO ALEIXO;-;2;-;1;1;24;-;-;11;12;6;5;62
SIMAO DIAS;2;17;23;7;3;124;38;10;38;53;88;7;410
SIRIRI;6;74;2;4;3;14;1;1;16;-;24;3;148
TELHA;14;-;22;9;3;5;-;-;-;3;4;1;61
TOBIAS BARRETO;89;1315;570;-;4;15;74;-;3;4;11;45;2130
TOMAR DO GERU;3;4;7;-;-;6;1;-;2;5;3;2;33
UMBAUBA;53;38;127;12;1;15;5;12;34;35;16;5;353
MUNICIPIO IGNORADO - BA;-;-;-;-;-;-;-;-;-;1;1;-;2
ABAIRA;1;3;1;2;2;2;2;1;-;3;122;17;156
ABARE;2;14;1;-;-;216;308;1;216;14;1046;8;1826
ACAJUTIBA;8;44;-;-;-;34;42;3;6;21;26;6;190
ADUSTINA;55;12;71;7;4;68;25;7;2;6;112;6;375
AGUA FRIA;-;12;3;1;4;93;100;-;7;4;246;7;477
ERICO CARDOSO;-;16;5;1;3;207;58;-;148;44;55;6;543
AIQUARA;-;1;9;4;-;3;16;8;1;105;19;-;166
ALAGOINHAS;54;47;24;21;16;506;1262;82;261;698;573;106;3650
ALCOBACA;34;50;317;9;5;7;44;3;121;61;458;47;1156
ALMADINA;2;2;54;-;-;1;47;-;67;51;34;10;268
AMARGOSA;23;33;19;4;-;10;632;1;-;8;103;10;843
AMELIA RODRIGUES;8;29;1;-;-;334;41;-;-;10;658;5;1086
AMERICA DOURADA;18;26;188;5;13;62;34;5;33;105;718;36;1243
ANAGE;1;1;39;-;-;7;26;1;6;16;618;62;777
ANDARAI;18;31;10;1;5;22;106;2;3;73;63;1;335
ANDORINHA;20;170;73;5;-;40;50;5;3;2;128;35;531
ANGICAL;1;1;7;2;4;19;12;39;7;4;79;18;195
ANGUERA;3;55;9;3;6;40;72;-;4;6;41;6;245
ANTAS;3;217;351;1;-;7;43;2;6;7;26;3;666
ANTONIO CARDOSO;5;71;2;1;1;54;28;1;-;8;114;5;290
ANTONIO GONCALVES;8;10;50;2;4;7;42;1;49;1;42;24;240
APORA;-;17;1;-;-;14;14;-;6;2;88;1;143
APUAREMA;4;9;12;3;-;7;63;3;304;8;2;51;466
ARACATU;-;3;21;2;-;5;56;5;2;1;500;18;613
ARACAS;2;5;-;-;-;12;13;-;5;2;27;5;71
ARACI;16;494;7;7;2;194;236;9;10;26;516;127;1644
ARAMARI;-;-;-;-;-;67;2;-;1;10;39;3;122
ARATACA;8;14;44;1;-;1;2;-;1;5;12;5;93
ARATUIPE;1;4;1;-;1;4;2;-;1;1;7;5;27
AURELINO LEAL;2;15;27;4;-;-;21;5;9;25;99;20;227
BAIANOPOLIS;-;-;1;1;-;31;17;68;11;7;265;1;402
BAIXA GRANDE;40;122;67;66;-;2;83;-;11;-;35;6;432
BANZAE;11;56;7;-;3;25;1;-;-;29;41;-;173
BARRA;22;859;19;7;77;38;28;63;7;7;421;16;1564
BARRA DA ESTIVA;415;24;12;1;-;5;37;4;9;385;43;11;946
BARRA DO CHOCA;-;79;13;6;2;16;35;12;6;29;8159;100;8457
BARRA DO MENDES;14;9;1;1;-;334;95;212;78;27;1005;17;1793
BARRA DO ROCHA;-;5;10;2;-;6;417;5;3;11;175;6;640
BARREIRAS;24;691;207;144;173;2308;722;6197;479;163;1054;87;12250
BARRO ALTO;-;21;6;1;-;34;126;28;55;6;226;27;530
BARROCAS;9;8;2;1;-;104;456;2;15;15;231;25;868
BARRO PRETO;43;35;304;18;1;-;56;3;125;13;96;114;808
BELMONTE;2;91;342;48;252;39;11;4;252;404;104;54;1603
BELO CAMPO;3;15;95;30;-;-;11;1;6;6;899;139;1205
BIRITINGA;5;28;-;1;-;90;450;1;-;4;608;16;1203
BOA NOVA;-;60;30;2;-;2;173;4;1;55;312;21;660
BOA VISTA DO TUPIM;3;16;165;5;3;19;116;-;1;-;36;8;372
BOM JESUS DA LAPA;21;459;23;23;752;78;165;243;53;15;2238;20;4090
BOM JESUS DA SERRA;1;-;2;-;-;3;21;1;2;3;1015;5;1053
BONINAL;-;-;15;-;-;142;12;-;114;110;828;2;1223
BONITO;4;29;31;2;-;36;26;3;1;17;1564;21;1734
BOQUIRA;15;136;36;4;15;39;397;14;13;67;244;60;1040
BOTUPORA;9;29;26;25;-;84;34;26;39;91;1201;15;1579
BREJOES;3;1;1;-;3;2;228;16;9;-;345;7;615
BREJOLANDIA;-;1;7;1;117;112;43;2;68;157;205;29;742
BROTAS DE MACAUBAS;2;14;8;2;3;53;28;60;16;37;120;93;436
BRUMADO;13;56;38;4;2;301;1156;8;284;48;1658;97;3665
BUERAREMA;29;525;997;31;2;15;45;9;41;157;55;142;2048
BURITIRAMA;27;181;7;42;89;9;-;10;89;8;474;14;950
CAATIBA;5;8;42;6;-;-;64;3;104;2;328;3;565
CABACEIRAS DO PARAGUACU;12;10;11;-;-;107;101;-;-;58;404;1;704
CACHOEIRA;14;14;13;-;2;105;127;1;-;7;129;15;427
CACULE;3;1;86;2;2;71;280;3;73;27;1752;15;2315
CAEM;1;11;-;1;1;242;10;5;11;4;59;5;350
CAETANOS;1;1;1;-;-;4;88;8;26;25;367;60;581
CAETITE;11;55;71;9;6;81;380;11;54;36;8968;191;9873
CAFARNAUM;1;2;3;1;2;358;17;26;21;5;554;42;1032
CAIRU;1;6;9;1;-;12;85;1;-;1;25;-;141
CALDEIRAO GRANDE;1;7;4;1;-;204;35;-;221;2;600;4;1079
CAMACAN;-;45;910;8;-;6;131;2;34;76;95;100;1407
CAMACARI;123;588;35;42;52;1370;714;184;683;719;913;310;5733
CAMAMU;-;8;37;4;3;8;69;1;13;6;98;9;256
CAMPO ALEGRE DE LOURDES;7;12;6;1;22;16;3;2;147;96;62;-;374
CAMPO FORMOSO;13;75;703;49;3;42;274;8;90;9;829;14;2109
CANAPOLIS;4;2;-;6;80;53;55;70;12;6;190;9;487
CANARANA;3;6;8;3;54;556;184;149;65;21;357;85;1492
CANAVIEIRAS;2;96;226;38;1;9;108;29;253;82;111;66;1021
CANDEAL;2;20;1;5;-;95;17;3;2;8;64;3;220
CANDEIAS;13;34;31;12;4;88;231;5;3;41;92;92;646
CANDIBA;-;-;1;-;-;230;19;12;125;23;161;151;722
CANDIDO SALES;101;385;580;368;2;11;380;14;301;42;2244;265;4693
CANSANCAO;4;22;222;1;-;67;125;2;2;5;43;183;676
CANUDOS;2;49;572;-;-;47;-;-;4;1;30;10;715
CAPELA DO ALTO ALEGRE;1;35;2;-;-;24;11;2;39;3;333;7;457
CAPIM GROSSO;5;50;110;4;1;272;342;1;11;18;1372;17;2203
CARAIBAS;1;2;43;-;-;-;3;-;3;6;480;17;555
CARAVELAS;9;47;222;14;3;20;105;6;10;20;203;69;728
CARDEAL DA SILVA;3;6;42;-;-;126;13;-;-;2;14;11;217
CARINHANHA;35;2;255;-;181;4;94;279;289;109;2502;159;3909
CASA NOVA;341;371;311;3;353;25;300;11;390;43;425;240;2813
CASTRO ALVES;9;133;49;3;-;33;43;1;3;48;142;13;477
CATOLANDIA;2;25;-;2;-;-;-;48;-;4;37;-;118
CATU;12;31;4;2;6;77;165;14;21;39;199;30;600
CATURAMA;-;16;38;2;4;213;17;6;45;9;268;26;644
CENTRAL;1;3;7;-;2;18;89;7;144;4;70;6;351
CHORROCHO;20;388;2;1;-;18;15;-;412;15;370;2;1243
CICERO DANTAS;16;107;209;-;-;37;73;5;4;6;210;31;698
CIPO;-;-;-;-;-;15;48;-;1;-;14;3;81
COARACI;7;91;229;74;8;12;53;232;163;36;642;123;1670
COCOS;1;-;-;-;-;2;1;41;18;153;1616;3;1835
CONCEICAO DA FEIRA;36;12;2;1;-;146;566;4;-;34;23;2;826
CONCEICAO DO ALMEIDA;12;2;2;-;-;43;102;-;3;50;233;6;453
CONCEICAO DO COITE;11;403;371;1;1;72;667;9;5;7;144;335;2026
CONCEICAO DO JACUIPE;104;101;13;2;6;314;604;8;21;55;909;10;2147
CONDE;2;7;2;1;-;66;37;3;3;10;84;5;220
CONDEUBA;12;10;26;2;-;13;238;2;11;23;1917;121;2375
CONTENDAS DO SINCORA;1;14;4;1;-;13;119;5;2;10;31;2;202
CORACAO DE MARIA;106;86;4;-;13;882;298;2;-;41;117;23;1572
CORDEIROS;-;-;3;1;-;-;4;2;11;23;96;104;244
CORIBE;9;24;22;-;4;197;151;105;16;18;491;29;1066
CORONEL JOAO SA;8;23;322;-;-;19;87;23;212;3;60;3;760
CORRENTINA;110;93;101;14;675;1187;322;464;200;38;1677;62;4946
COTEGIPE;-;1;-;4;4;35;45;46;49;10;245;20;459
CRAVOLANDIA;-;1;-;-;-;2;46;-;-;-;51;-;100
CRISOPOLIS;83;23;1;-;-;49;12;-;-;80;117;5;371
CRISTOPOLIS;5;74;32;5;6;168;5;34;51;17;143;4;544
CRUZ DAS ALMAS;40;37;8;2;2;214;208;6;2;134;181;47;881
CURACA;8;4;3;1;-;7;154;5;25;7;126;15;355
DARIO MEIRA;1;4;31;1;-;6;70;73;2;19;40;3;250
DIAS D'AVILA;19;38;19;59;23;53;58;18;36;26;81;42;472
DOM BASILIO;4;4;2;-;46;30;40;1;2;22;74;29;254
DOM MACEDO COSTA;-;1;3;-;-;30;30;-;-;1;46;5;116
ELISIO MEDRADO;1;2;1;-;-;1;23;2;-;-;52;2;84
ENCRUZILHADA;2;5;172;3;-;22;127;7;15;48;664;45;1110
ENTRE RIOS;1;21;8;-;-;343;204;-;-;5;105;11;698
ESPLANADA;5;44;1;2;-;288;203;8;9;30;172;8;770
EUCLIDES DA CUNHA;146;812;353;3;14;1452;398;2;65;7;277;642;4171
EUNAPOLIS;27;120;684;526;42;82;667;8;489;2484;721;448;6298
FATIMA;23;23;15;1;2;77;96;4;26;8;91;4;370
FEIRA DA MATA;13;8;13;-;-;2;11;47;52;6;176;1;329
FEIRA DE SANTANA;901;1824;270;150;640;11816;3255;169;426;3087;8294;447;31280
FILADELFIA;10;26;3;1;-;10;45;1;10;5;19;17;147
FIRMINO ALVES;-;5;100;10;-;4;85;-;28;6;56;4;298
FLORESTA AZUL;5;36;163;4;6;9;10;-;503;12;57;552;1357
FORMOSA DO RIO PRETO;5;3;1;1;3;3;1;860;235;94;136;18;1360
GANDU;4;37;4;-;2;7;102;16;87;49;80;65;453
GAVIAO;-;8;4;6;-;13;37;-;26;3;28;1;126
GENTIO DO OURO;-;3;1;-;54;52;12;19;35;16;462;75;729
GLORIA;7;145;119;8;3;42;27;-;7;8;66;10;442
GONGOGI;2;2;8;61;1;-;18;1;26;24;57;4;204
GOVERNADOR MANGABEIRA;2;65;17;1;32;509;155;6;4;78;59;10;938
GUAJERU;1;17;2;-;-;1;13;-;-;-;322;1;357
GUANAMBI;8;33;38;1;10;22;238;463;90;59;3934;156;5052
GUARATINGA;3;27;45;12;1;-;17;1;6;59;82;12;265
HELIOPOLIS;4;19;12;-;-;6;25;1;1;-;13;-;81
IACU;5;102;46;5;3;14;266;7;4;9;101;10;572
IBIASSUCE;2;3;12;2;1;9;237;1;6;69;437;15;794
IBICARAI;16;878;2165;159;96;59;128;5;83;22;38;32;3681
IBICOARA;2;3;22;-;-;179;8;1;82;34;1239;2;1572
IBICUI;-;21;170;24;1;3;161;14;43;195;387;18;1037
IBIPEBA;-;18;22;1;-;95;103;31;2;13;298;5;588
IBIPITANGA;2;51;11;1;1;27;86;-;58;269;423;7;936
IBIQUERA;1;16;12;-;-;2;79;-;-;3;4;-;117
IBIRAPITANGA;2;8;16;2;1;-;43;3;5;10;19;2;111
IBIRAPUA;-;80;216;526;1;2;38;-;8;73;14;113;1071
IBIRATAIA;65;86;203;29;-;53;309;3;8;215;118;2;1091
IBITIARA;19;1;-;-;-;59;55;5;1;144;816;16;1116
IBITITA;9;1;1;-;-;238;112;3;190;25;157;8;744
IBOTIRAMA;20;276;52;10;153;28;35;476;33;16;722;375;2196
ICHU;40;47;18;2;1;120;78;2;1;29;241;7;586
IGAPORA;12;13;35;2;16;22;6;134;4;12;193;8;457
IGRAPIUNA;1;1;13;-;-;30;7;-;-;13;64;16;145
IGUAI;-;-;5;-;-;19;358;48;3;1;73;24;531
ILHEUS;632;5256;5180;159;162;598;512;101;982;877;3176;2891;20526
INHAMBUPE;8;2;1;4;1;131;158;15;5;4;62;7;398
IPECAETA;2;75;1;15;10;113;31;1;-;5;243;3;499
IPIAU;47;118;1070;34;1;232;864;169;25;11;60;12;2643
IPIRA;9;83;3;5;11;32;48;3;18;10;349;22;593
IPUPIARA;-;1;3;4;30;168;71;133;137;2;194;327;1070
IRAJUBA;-;3;9;-;-;-;205;-;-;-;12;10;239
IRAMAIA;12;-;6;-;-;82;127;-;7;1;20;3;258
IRAQUARA;1;-;5;11;8;510;724;3;58;992;598;45;2955
IRARA;23;26;2;2;-;159;493;2;-;11;38;11;767
IRECE;7;24;25;42;14;705;683;371;1545;169;2969;192;6746
ITABELA;38;108;100;34;1;6;4;3;29;49;54;21;447
ITABERABA;114;996;1109;91;20;555;2956;151;608;542;2481;48;9671
